No.,Title ID,BPM,BPM 01,BPM 02,BPM 03,BPM 04,BPM 05,BPM 06,BPM 07,BPM 08,BPM 09,BPM 10
1,8c8222ef-49bc-4955-b4b6-281059de71f5,,,,,,,,,,,
2,992107b3-eb56-4afc-b79d-a1b23129050a,,,,,,,,,,,
3,f730e43c-49f3-4eff-a15e-358151d2b6d0,,,,,,,,,,,
4,1ddcd0d0-727c-42e0-ba54-343dc99f5614,,,,,,,,,,,
5,a3291ecf-54d8-44e0-9ee3-c3e1ac6f85c5,128,128,,,,,,,,,
6,99680164-9e11-4326-9f31-d91419e607e6,,,,,,,,,,,
7,f9120abe-14e6-436c-b999-2ec8577a8636,164,156,164,,,,,,,,
8,45bff259-bc92-4034-8595-405153e342db,,,,,,,,,,,
9,61c304df-d44d-4220-8445-0282f8b3f051,,,,,,,,,,,
10,70f56b7d-e11b-472d-91b8-34c8f9f6d53f,,,,,,,,,,,
11,c5554e32-e1c7-4f02-b57f-30e53e1cc1eb,101,101,,,,,,,,,
12,bf1e8378-059e-476a-b76c-b8b1269c257c,,,,,,,,,,,
13,52592787-f9a0-4cc3-a369-c1afc13ed01d,157,157,,,,,,,,,
14,1f6da8cf-8c71-4592-b03d-f2057b892853,130,130,,,,,,,,,
15,2ce1049e-082f-4413-b78c-a8e0315e027a,,,,,,,,,,,
16,583f8b0e-31c9-4d91-84de-23b443084232,88,88,,,,,,,,,
17,7bcbeb91-28d6-45ac-8934-d1c62e8a6d92,,,,,,,,,,,
18,cc0a5d5b-e1e6-4ab3-bfab-5648085fd4e7,,,,,,,,,,,
19,9abafaa4-8d3f-49bf-96a9-8c4324a7bdfc,,,,,,,,,,,
20,4e790560-d46b-471a-a9d2-4624e11e6e12,,,,,,,,,,,
21,e328f768-132e-46b2-a173-ff852fa93fcc,,,,,,,,,,,
22,d3830579-5d7b-495c-916d-546f10b4ab0b,,,,,,,,,,,
23,d65c1dca-7875-423c-9fcb-af0ae9f5a37c,,,,,,,,,,,
24,b2e9bfe4-8305-440c-b002-cb20dd4e0ea5,78,78,,,,,,,,,
25,021ab05c-32ca-48b3-a673-b8a4c8dd6073,,,,,,,,,,,
26,fad4c546-8aa1-4598-b796-d45de00df198,,,,,,,,,,,
27,6c1fc07b-4d4d-4ef8-8a80-4fd2b23e9f68,,,,,,,,,,,
28,0c50189a-85d0-4176-9c42-26583d1eed5d,,,,,,,,,,,
29,112fd3e0-124e-4a0d-b78b-93323ab0fb00,,,,,,,,,,,
30,93fd8b07-ce93-4f1a-a8fc-babb96389e76,,,,,,,,,,,
31,01f38b23-6619-47a2-906a-2fedb8f914fb,,,,,,,,,,,
32,b1f7a36d-5bb2-4bfd-94e9-ad0a168d565f,,,,,,,,,,,
33,1a4c6950-77c6-49b0-bf75-1f356d4acc06,,,,,,,,,,,
34,2807f622-7ccb-4ecb-914c-c341d92f82be,,,,,,,,,,,
35,23f63c1e-728d-4f75-8427-1b52d0eeb662,,,,,,,,,,,
36,90aa08c9-cc17-4e53-8fa7-0ccb0d12cd3c,,,,,,,,,,,
37,7f1e018f-fb05-42c6-b992-346cd6936af9,,,,,,,,,,,
38,d7afe7e6-c231-4128-9f32-fae1e8309378,,,,,,,,,,,
39,b21e15b6-1fd5-476e-b24c-d822f94587b2,,,,,,,,,,,
40,124792f8-e053-42a1-9bdd-412d95b6e078,109,109,,,,,,,,,
41,2090fa36-6b28-4968-945e-e966c2139ce0,175,175,,,,,,,,,
42,f491d566-31f9-4915-b9dd-de0f6d3d894b,,,,,,,,,,,
43,a9cec900-7540-4eb0-8767-3105a1475f07,156,156,,,,,,,,,
44,714c15e3-032b-420e-acd4-f90b352bc8ac,,,,,,,,,,,
45,65f86674-1dff-4c4d-a852-2a235bfab68e,,,,,,,,,,,
46,935339bb-4839-48f5-a344-fd164c4f5b3c,95,95,,,,,,,,,
47,5ac17855-d161-4a61-b9f0-dca13742f031,,,,,,,,,,,
48,35d20da2-cd4b-4766-aaf3-0e6ddf92518f,,,,,,,,,,,
49,187265bc-741f-4afd-b971-5a124ef42c7a,120,120,,,,,,,,,
50,a82103d8-8012-44b0-845a-bf49ceeb12bd,,,,,,,,,,,
51,81183ac2-568e-4ff8-9658-a32473d40bf2,170,,,,,,,,,,
52,a7050fa1-27cc-4def-8c50-88e64162682e,,,,,,,,,,,
53,ed729e78-86aa-4a36-b117-11bd15b7b672,,,,,,,,,,,
54,2633ea12-d719-4e41-b4ac-c1f47636e52f,,,,,,,,,,,
55,59071d78-d056-4a02-b9bc-d28f021ce200,,,,,,,,,,,
56,77836f67-e7fe-47df-a9f5-18964e1d7737,,,,,,,,,,,
57,aeba8073-f07d-4cc8-9574-99acc99fa6f5,,,,,,,,,,,
58,b4eefca5-864e-4cd4-bc62-66b4667e934c,,,,,,,,,,,
59,0fe19c90-05f6-405b-a51c-f6daa8b50d6e,173,173,,,,,,,,,
60,8b103380-a35d-4386-8450-7149e28dba5e,,,,,,,,,,,
61,fa7f0880-0fd8-42cf-ac1e-4bf94ac5193a,,,,,,,,,,,
62,44796640-af85-45a1-b8ec-b2c360faaa49,,,,,,,,,,,
63,3b124d6f-4186-4da8-a5d2-db1754a0eb5a,,,,,,,,,,,
64,ba4abfc6-6039-4ae9-8fb9-7f3b25472220,,,,,,,,,,,
65,8d01754d-d4dd-498f-9f86-35df6dd7344c,,,,,,,,,,,
66,deba534d-3f68-4b6e-9601-2bac67d99386,115,115,,,,,,,,,
67,00be33b0-767a-46b8-b89b-a6cf0c6638a6,,,,,,,,,,,
68,d10dc855-8f5a-4985-9960-3a454b984872,120,120,,,,,,,,,
69,05d6c716-3a05-486f-b872-a255ad5b1084,,,,,,,,,,,
70,de4405bc-1e32-4ed8-be86-bab6b87ed689,,,,,,,,,,,
71,03bc1d36-b145-4d15-950a-4e05cecd893a,,,,,,,,,,,
72,61ca870f-6bc2-487f-a404-42bea4627885,,,,,,,,,,,
73,849712ff-686b-4dc6-9b80-d641ed2953aa,,,,,,,,,,,
74,e7810f2e-c902-422e-b00f-607833baa595,,,,,,,,,,,
75,ea2d0316-f1c6-4506-84ea-133192aca07e,,,,,,,,,,,
76,069710ea-2bba-4003-97f0-b32baaae2e2e,,,,,,,,,,,
