Sequence,Entry ID,Title ID,Title,Artist,Score,Platform,Tone,Stability,Intonation,Long Tone,Technique,Guide Melody,Shakuri,Tremolo,Vibrato,Note
1,02af09c0-476e-4515-93e8-d29eaf43406e,a957a131-d64a-404b-bef4-73f7d09eab10,宝箱のジェットコースター,Petit Rabbit's,87.296,NS-JSR3,,,,,,Normal,,,,
2,1df8f610-cec6-436e-be9d-ed5d741b18e8,f9120abe-14e6-436c-b999-2ec8577a8636,CLEAR,坂本真綾,89.649,NS-JSR3,,,,,,Normal,,,,
3,6ffc5930-1176-45ed-a5c6-a5feaee9a9e6,d2776f34-ed23-4b29-9836-48a4c82ab623,SAKURAスキップ,fourfolium 涼風青葉(CV:高田憂希)、滝本ひふみ(CV:山口愛)、篠田はじめ(CV:戸田めぐみ)、飯島ゆん(CV:竹尾歩美),89.113,NS-JSR3,,,,,,Normal,,,,
4,1b49ca10-f95d-4e58-a396-60ab22006ee6,203432dd-8b21-4f04-8bce-3ee279ed215a,白金ディスコ,阿良々木月火(井口裕香),93.070,NS-JSR3,,,,,,Normal,,,,
5,e9a521ee-fc80-482c-b832-0c6f7858afa9,3c03e8cc-814f-4bad-a2ba-bc5fdb79e4b1,大好きって意味だよ(フルサイズ),キョエ,89.751,NS-JSR3,,,,,,Normal,,,,
6,9defee4f-b64b-4bb4-a6eb-764a0a6c61f6,e06b97de-c2b0-4b6c-9566-7079aba28306,ふゆびより,佐々木恵梨,96.546,NS-JSR3,,,,,,Normal,,,,
